,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
27989,2246905,PAYMENT,70501,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-11-02 13:11:45,-,166000,CARD,166000,-,166000,-,11,2
28240,2245522,REFUND,58473,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-11-01 18:11:29,-,165000,POINT,-135000,-,-,-135000,11,1
28362,2244657,PAYMENT,26959,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-11-01 13:11:49,-,166000,CARD,166000,-,166000,-,11,1
28454,2244123,PAYMENT,79740,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-11-01 09:11:29,-,166000,CARD,166000,-,166000,-,11,1
28467,2244009,PAYMENT,89165,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-11-01 07:11:32,[WELCOME] 온라인 강의 3만원 할인,166000,CARD,136000,30000,136000,-,11,1
28679,2243182,PAYMENT,75971,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 22:10:33,-,165000,CARD,165000,-,165000,-,10,31
28680,2243181,PAYMENT,86143,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 22:10:50,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,31
28687,2243153,PAYMENT,95412,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 22:10:27,[WELCOME] 온라인 강의 3만원 할인,165000,POINT,135000,30000,135000,-,10,31
28697,2243120,PAYMENT,4672,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 22:10:38,-,165000,CARD,165000,-,165000,-,10,31
28713,2243064,PAYMENT,40791,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 22:10:06,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,31
28737,2242995,PAYMENT,76884,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 22:10:21,-,165000,TRANS,165000,-,165000,-,10,31
28760,2242911,PAYMENT,52512,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 21:10:51,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,31
28928,2242315,PAYMENT,24930,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 19:10:22,-,165000,CARD,165000,-,165000,-,10,31
29095,2241608,PAYMENT,71136,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 16:10:22,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,31
29106,2241554,PAYMENT,67565,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 16:10:16,-,165000,CARD,165000,-,165000,-,10,31
29108,2241544,PAYMENT,57855,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 16:10:23,-,165000,CARD,165000,-,165000,-,10,31
29118,2241458,PAYMENT,25676,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 16:10:06,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,31
29204,2241147,PAYMENT,57428,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 14:10:20,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,31
29207,2241144,PAYMENT,19351,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 14:10:18,-,165000,CARD,165000,-,165000,-,10,31
29221,2241091,PAYMENT,29340,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 14:10:36,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,31
29247,2240980,REFUND,68019,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 14:10:00,-,164000,TRANS,-134000,-,-,-134000,10,31
29269,2240898,PAYMENT,75213,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 13:10:58,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,31
29272,2240886,PAYMENT,77437,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 13:10:25,[재결제]초격차 패키지 : 일잘러 필수 스킬 모음.zip,165000,CARD,134000,31000,134000,-,10,31
29365,2240456,REFUND,79809,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 11:10:10,-,165000,CARD,-135000,-,-,-135000,10,31
29406,2240337,PAYMENT,84394,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 10:10:06,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,31
29415,2240312,PAYMENT,91398,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 10:10:32,[WELCOME] 온라인 강의 3만원 할인,165000,TRANS,135000,30000,135000,-,10,31
29420,2240303,REFUND,54442,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 10:10:27,-,165000,CARD,-165000,-,-,-165000,10,31
29444,2240217,PAYMENT,52561,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 09:10:03,-,165000,CARD,165000,-,165000,-,10,31
29458,2240162,PAYMENT,80799,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-31 08:10:14,[WELCOME] 온라인 강의 3만원 할인,165000,POINT,135000,30000,135000,-,10,31
29614,2239111,PAYMENT,82496,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-30 21:10:20,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,30
29725,2238587,PAYMENT,72298,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-30 15:10:12,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,30
29803,2238143,PAYMENT,12458,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-30 07:10:36,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,30
29824,2237990,PAYMENT,20876,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-30 01:10:47,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,30
29884,2237526,PAYMENT,29791,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-29 21:10:44,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,29
30013,2236781,PAYMENT,12684,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-29 09:10:45,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,29
30027,2236616,PAYMENT,52665,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-29 03:10:38,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,29
30038,2236551,PAYMENT,67854,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-29 01:10:24,-,165000,CARD,165000,-,165000,-,10,29
30090,2236071,PAYMENT,22901,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-28 21:10:46,-,165000,CARD,165000,-,165000,-,10,28
30150,2235725,PAYMENT,82220,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-28 17:10:48,[WELCOME] 온라인 강의 3만원 할인,165000,TRANS,135000,30000,135000,-,10,28
30160,2235655,REFUND,85494,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-28 17:10:07,-,165000,CARD,-165000,-,-,-165000,10,28
30163,2235624,PAYMENT,60410,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-28 17:10:23,-,165000,CARD,165000,-,165000,-,10,28
30181,2235524,PAYMENT,60185,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-28 16:10:15,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,28
30188,2235465,PAYMENT,61544,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-28 16:10:17,-,165000,CARD,165000,-,165000,-,10,28
30256,2235013,PAYMENT,42518,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-28 14:10:14,[WELCOME] 온라인 강의 3만원 할인,165000,POINT,135000,30000,135000,-,10,28
30273,2234924,PAYMENT,64420,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-29 19:10:00,[WELCOME] 온라인 강의 3만원 할인,165000,VBANK,135000,30000,135000,-,10,29
30360,2234378,PAYMENT,99167,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-28 09:10:08,[WELCOME] 온라인 강의 3만원 할인,165000,POINT,135000,30000,135000,-,10,28
30419,2233321,PAYMENT,58424,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-27 23:10:52,[WELCOME] 온라인 강의 3만원 할인,165000,VBANK,135000,30000,135000,-,10,27
30433,2233223,PAYMENT,69168,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-27 22:10:08,-,165000,CARD,165000,-,165000,-,10,27
30555,2232375,PAYMENT,76519,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-27 15:10:41,-,165000,CARD,165000,-,165000,-,10,27
30609,2232112,PAYMENT,4076,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-27 13:10:06,-,165000,TRANS,165000,-,165000,-,10,27
30650,2231878,PAYMENT,75451,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-27 11:10:23,-,165000,CARD,165000,-,165000,-,10,27
30677,2231755,REFUND,14210,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-27 10:10:25,-,165000,CARD,-165000,-,-,-165000,10,27
30701,2231689,PAYMENT,69329,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-27 09:10:15,-,165000,CARD,165000,-,165000,-,10,27
30713,2231607,PAYMENT,30063,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-27 09:10:01,-,165000,CARD,165000,-,165000,-,10,27
30771,2230860,PAYMENT,27654,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-26 23:10:26,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,26
30888,2229940,PAYMENT,69424,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-26 16:10:21,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,26
30923,2229675,PAYMENT,29222,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-26 14:10:37,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,26
30961,2229436,PAYMENT,36796,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-26 12:10:16,-,165000,CARD,165000,-,165000,-,10,26
31031,2229229,PAYMENT,47782,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-26 10:10:35,-,165000,POINT,165000,-,165000,-,10,26
31055,2229050,PAYMENT,34035,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-26 07:10:58,-,165000,CARD,165000,-,165000,-,10,26
31220,2227912,PAYMENT,38471,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-25 16:10:39,[WELCOME] 온라인 강의 3만원 할인,165000,POINT,135000,30000,135000,-,10,25
31308,2227378,PAYMENT,81227,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-25 11:10:20,-,165000,TRANSFER,165000,-,165000,-,10,25
31329,2227348,PAYMENT,14062,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-25 13:10:17,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,25
31336,2227332,REFUND,57193,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-25 13:10:02,-,165000,CARD,-131625,-,-,-131625,10,25
31459,2226791,PAYMENT,47919,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-25 01:10:23,-,165000,CARD,165000,-,165000,-,10,25
31507,2226521,PAYMENT,27654,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-24 22:10:03,-,165000,POINT,165000,-,165000,-,10,24
31601,2226071,PAYMENT,4710,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-24 18:10:19,-,165000,CARD,165000,-,165000,-,10,24
31752,2225493,PAYMENT,2522,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-24 13:10:39,-,165000,CARD,165000,-,165000,-,10,24
31888,2224979,PAYMENT,48714,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-24 02:10:58,-,165000,CARD,165000,-,165000,-,10,24
31895,2224925,PAYMENT,94642,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-24 00:10:33,-,165000,CARD,165000,-,165000,-,10,24
31904,2224884,PAYMENT,52998,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-23 23:10:57,-,165000,POINT,165000,-,165000,-,10,23
31998,2224689,PAYMENT,74941,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-23 22:10:51,-,165000,CARD,165000,-,165000,-,10,23
32175,2224307,PAYMENT,75875,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-23 20:10:11,-,165000,CARD,165000,-,165000,-,10,23
32180,2224292,PAYMENT,91143,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-23 20:10:04,-,165000,CARD,165000,-,165000,-,10,23
32251,2224137,PAYMENT,67717,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-23 18:10:42,-,165000,CARD,165000,-,165000,-,10,23
32274,2224076,PAYMENT,4450,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-23 18:10:23,[WELCOME] 온라인 강의 3만원 할인,165000,POINT,135000,30000,135000,-,10,23
32405,2223595,PAYMENT,14774,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-23 11:10:08,-,165000,CARD,165000,-,165000,-,10,23
32408,2223567,PAYMENT,4498,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-23 10:10:24,-,165000,TRANS,165000,-,165000,-,10,23
32497,2223169,PAYMENT,43243,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-22 22:10:59,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,22
32513,2223106,PAYMENT,6931,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-22 21:10:34,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,22
32588,2222761,PAYMENT,19734,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-22 15:10:59,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,22
32600,2222716,PAYMENT,3544,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-22 14:10:22,-,165000,POINT,165000,-,165000,-,10,22
32675,2222460,PAYMENT,59785,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-22 09:10:49,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,22
32876,2221433,REFUND,28834,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-21 15:10:39,-,165000,CARD,-165000,-,-,-165000,10,21
32965,2221097,PAYMENT,74629,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-21 13:10:47,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,21
33253,2219555,PAYMENT,14286,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-20 16:10:30,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,20
33259,2219512,PAYMENT,69060,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-20 15:10:09,-,165000,VBANK,165000,-,165000,-,10,20
33264,2219473,PAYMENT,62287,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-20 15:10:44,-,165000,CARD,165000,-,165000,-,10,20
33360,2219069,PAYMENT,94304,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-20 12:10:01,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,20
33394,2218900,PAYMENT,20407,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-20 10:10:38,-,165000,CARD,165000,-,165000,-,10,20
33396,2218898,REFUND,70826,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-20 10:10:58,-,165000,CARD,-165000,-,-,-165000,10,20
33513,2218310,PAYMENT,28882,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-19 22:10:05,-,165000,CARD,165000,-,165000,-,10,19
33523,2218265,PAYMENT,42105,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-19 22:10:20,-,165000,CARD,165000,-,165000,-,10,19
33557,2218068,PAYMENT,53603,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-19 19:10:09,-,165000,CARD,165000,-,165000,-,10,19
33644,2217558,PAYMENT,95413,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-19 15:10:45,-,165000,VBANK,165000,-,165000,-,10,19
33742,2217170,PAYMENT,69761,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-19 10:10:55,-,165000,CARD,165000,-,165000,-,10,19
33813,2216694,PAYMENT,39885,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-18 23:10:57,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,18
33831,2216602,PAYMENT,39930,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-18 22:10:32,[WELCOME] 온라인 강의 3만원 할인,165000,POINT,135000,30000,135000,-,10,18
33962,2215894,PAYMENT,39278,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-18 16:10:38,-,165000,CARD,165000,-,165000,-,10,18
34062,2215472,REFUND,27806,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-18 13:10:30,-,165000,CARD,-165000,-,-,-165000,10,18
34150,2215218,PAYMENT,91191,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-18 11:10:54,-,165000,POINT,165000,-,165000,-,10,18
34308,2214380,PAYMENT,86546,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-17 20:10:55,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,17
34380,2214052,PAYMENT,73821,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-17 15:10:17,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,17
34393,2214015,PAYMENT,86756,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-17 15:10:44,-,165000,CARD,165000,-,165000,-,10,17
34395,2214010,PAYMENT,92337,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-17 15:10:41,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,17
34526,2213561,PAYMENT,23250,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-17 09:10:59,-,165000,CARD,165000,-,165000,-,10,17
34553,2213435,PAYMENT,61493,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-17 02:10:08,[WELCOME] 온라인 강의 3만원 할인,165000,POINT,135000,30000,135000,-,10,17
34625,2213102,PAYMENT,51511,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-16 20:10:29,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,16
34696,2212697,PAYMENT,85349,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-16 14:10:51,-,165000,CARD,165000,-,165000,-,10,16
34719,2212595,PAYMENT,47119,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-16 12:10:36,[WELCOME] 온라인 강의 2만원 할인,165000,CARD,145000,20000,145000,-,10,16
34729,2212501,PAYMENT,51833,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-16 10:10:59,-,165000,POINT,165000,-,165000,-,10,16
34773,2212086,PAYMENT,19055,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-15 23:10:43,-,165000,CARD,165000,-,165000,-,10,15
34944,2210925,PAYMENT,28307,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-14 23:10:41,[프로모션] 9월 100% 페이백 이벤트,165000,PROMOTION,0,198000,0,-,10,14
35116,2210033,PAYMENT,42387,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-14 16:10:27,[프로모션] 9월 100% 페이백 이벤트,165000,CARD,3000,162000,3000,-,10,14
35118,2210008,PAYMENT,65237,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-14 16:10:34,-,165000,TRANSFER,165000,-,165000,-,10,14
35268,2209184,PAYMENT,81492,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-14 13:10:52,[프로모션] 9월 100% 페이백 이벤트,165000,VBANK,53700,111300,53700,-,10,14
35347,2208782,PAYMENT,49502,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-14 10:10:02,[프로모션] 9월 100% 페이백 이벤트,165000,POINT,39000,126000,39000,-,10,14
35385,2208713,PAYMENT,81563,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-14 10:10:05,[WELCOME] 온라인 강의 3만원 할인,165000,CARD,135000,30000,135000,-,10,14
35393,2208695,PAYMENT,65021,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-14 10:10:01,[프로모션] 9월 100% 페이백 이벤트,165000,POINT,10000,155000,10000,-,10,14
35434,2208407,PAYMENT,62089,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-10-14 06:10:11,[프로모션] 9월 100% 페이백 이벤트,165000,CARD,14000,151000,14000,-,10,14
